source,label,agree,disagree,publisher,site
Truthdig,Left,61,31,https://www.truthdig.com/?fbclid=IwAR0Gx3RySjA5Ma5f08q6jOxIjUA_kVp0pkKmkPEadHUN5zFBmJPPpOFWAAE,www.truthdig.com
TruthOut,Lean Left,331,355,http://www.truth-out.org/,www.truth-out.org
U.S. News & World Report,Lean Left,1538,1714,http://www.usnews.com/,www.usnews.com
Univision,Lean Left,361,427,http://www.univision.com/,www.univision.com
Upworthy,Left,435,310,http://upworthy.com,upworthy.com
USA TODAY,Center,13193,11191,http://www.usatoday.com/,www.usatoday.com
Vanity Fair,Lean Left,3430,2239,http://www.vanityfair.com/,www.vanityfair.com
Virginia Mercury,Center,8,15,https://www.virginiamercury.com/,www.virginiamercury.com
Volante,Center,140,153,http://volanteonline.com/,volanteonline.com
Vote Smart,Center,210,222,http://www.votesmart.org,www.votesmart.org
Vox,Left,15418,12896,http://www.vox.com,www.vox.com
VT Digger,Lean Left,157,189,http://vtdigger.org/,vtdigger.org
Wake Up to Politics,Center,52,44,http://www.wakeuptopolitics.com,www.wakeuptopolitics.com
Wall Street Journal - Editorial,Lean Right,5894,4242,http://online.wsj.com/public/page/news-opinion-commentary.html,online.wsj.com
Wall Street Journal - News,Center,13773,18826,http://online.wsj.com/,online.wsj.com
Washington Examiner,Lean Right,6268,3191,http://washingtonexaminer.com/,washingtonexaminer.com
Washington Free Beacon,Right,502,496,http://freebeacon.com/,freebeacon.com
Washington Monthly,Lean Left,215,199,http://washingtonmonthly.com/,washingtonmonthly.com
Washington Post,Lean Left,26108,16533,https://www.washingtonpost.com/,www.washingtonpost.com
Washington Times,Lean Right,22261,11077,http://www.washingtontimes.com/,www.washingtontimes.com
WFAE,Center,160,174,http://wfae.org/,wfae.org
WGBH,Center,339,290,http://news.wgbh.org/,news.wgbh.org
Whitehouse.gov,Lean Right,443,532,http://www.whitehouse.gov/,www.whitehouse.gov
Wired,Center,93,118,https://www.wired.com/,www.wired.com
Wisconsin Gazette,Lean Left,211,185,http://wisconsingazette.com/,wisconsingazette.com
WND.com,Right,534,249,http://www.wnd.com/,www.wnd.com
Yahoo! News,Lean Left,2066,1607,https://www.yahoo.com/,www.yahoo.com
Yahoo! The 360,Mixed,70,64,https://news.yahoo.com/tagged/360/,news.yahoo.com
Yes! Magazine,Left,399,202,http://www.yesmagazine.org/,www.yesmagazine.org
